,id,carat,cut,color,clarity,depth,table,x,y,z,price
38,39,1.26,Ideal,J,SI1,62.0,56.0,6.9,6.93,4.29,5301
39,40,1.55,Good,H,VS2,61.0,61.0,7.42,7.47,4.54,11364
40,41,0.9,Good,G,SI2,63.8,59.0,6.05,6.02,3.85,3246
41,42,1.58,Premium,F,SI2,62.3,60.0,7.42,7.38,4.61,9290
42,43,0.43,Premium,F,SI1,60.5,60.0,4.88,4.84,2.94,1016
43,44,0.3,Ideal,G,VVS1,61.7,54.0,4.32,4.34,2.67,764
44,45,2.0,Good,I,SI1,63.9,57.0,8.01,7.91,5.09,12554
45,46,1.01,Premium,F,I1,62.6,57.0,6.42,6.3,3.99,2257
46,47,0.43,Premium,F,VS1,62.5,58.0,4.85,4.78,3.01,1129
47,48,0.52,Ideal,G,VVS2,61.7,55.0,5.21,5.23,3.22,2338
48,49,0.73,Very Good,E,SI2,62.1,58.0,5.75,5.81,3.59,2395
49,50,0.52,Ideal,D,VS2,61.8,55.0,5.16,5.19,3.2,1822
50,51,0.5,Premium,F,SI2,58.0,62.0,5.21,5.18,3.01,1031
51,52,1.14,Premium,G,VS2,61.4,60.0,6.71,6.68,4.11,7079
52,53,0.78,Premium,F,SI1,62.4,58.0,5.83,5.8,3.63,2777
53,54,0.43,Ideal,G,VS1,62.3,56.0,4.82,4.85,3.01,943
54,55,0.91,Very Good,G,SI2,62.9,54.0,6.14,6.22,3.89,3615
55,56,1.02,Very Good,F,VS1,62.4,58.0,6.42,6.47,4.02,7587
56,57,0.52,Good,E,SI1,63.7,54.0,5.12,5.15,3.27,1388
57,58,1.21,Ideal,I,VVS1,61.6,55.0,6.88,6.8,4.21,7086
58,59,0.5,Good,E,VS2,64.9,59.0,4.89,4.94,3.19,1389
59,60,1.01,Premium,G,VVS2,61.7,59.0,6.44,6.37,3.95,7466
60,61,0.51,Ideal,F,VVS2,62.6,57.0,5.13,5.1,3.2,2203
61,62,0.27,Premium,E,VS1,61.5,58.0,4.22,4.17,2.58,603
62,63,1.8,Very Good,E,SI1,62.2,57.0,7.81,7.89,4.88,17273
63,64,0.3,Ideal,F,VS1,61.9,55.0,4.28,4.3,2.66,673
64,65,1.13,Premium,H,SI1,60.9,59.0,6.79,6.7,4.11,5050
65,66,0.38,Premium,I,VS2,61.7,59.0,4.64,4.6,2.85,812
66,67,0.54,Premium,F,SI1,59.7,59.0,5.36,5.3,3.18,1369
67,68,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,405
68,69,0.51,Ideal,D,SI2,59.8,55.0,5.23,5.17,3.11,1359
69,70,0.32,Premium,J,SI1,62.2,59.0,4.37,4.41,2.73,365
70,71,0.57,Ideal,F,VVS1,61.1,55.0,5.36,5.44,3.3,3057
71,72,0.44,Ideal,I,VVS2,60.8,56.0,4.9,4.93,2.99,912
72,73,0.52,Ideal,F,VS2,62.5,56.0,5.12,5.16,3.21,1629
73,74,0.7,Premium,E,VS1,58.4,59.0,5.91,5.83,3.43,2854
74,75,0.57,Very Good,G,SI2,59.4,58.0,5.39,5.42,3.21,1214
75,76,1.22,Ideal,G,VS2,62.0,57.0,6.88,6.83,4.25,8062
76,77,0.59,Ideal,E,SI1,62.0,55.0,5.37,5.4,3.34,1664
77,78,0.51,Ideal,G,VS2,62.0,56.0,5.11,5.18,3.19,1343
78,79,1.2,Premium,G,SI1,62.2,58.0,6.8,6.7,4.2,5154
79,80,2.16,Premium,H,SI2,62.3,57.0,8.29,8.22,5.14,11473
80,81,0.31,Very Good,G,VS1,60.5,57.0,4.39,4.42,2.67,640
81,82,0.4,Ideal,H,VVS2,61.4,55.7,4.72,4.77,2.92,905
82,83,1.68,Ideal,I,VS2,62.1,57.0,7.6,7.54,4.7,10800
83,84,0.9,Very Good,D,SI2,63.5,58.0,6.08,6.17,3.89,3918
84,85,0.43,Very Good,E,VS2,62.2,58.0,4.81,4.87,3.01,869
85,86,0.76,Ideal,H,VS2,61.9,55.0,5.85,5.88,3.64,3016
86,87,0.74,Ideal,E,SI2,,59.0,5.92,5.97,3.52,2501
87,88,1.26,Ideal,J,VS2,63.2,57.0,6.86,6.81,4.32,5306
88,89,0.41,Very Good,I,VVS2,63.1,56.0,4.75,4.72,2.99,1061
89,90,0.3,Ideal,H,VVS1,61.8,55.0,4.34,4.37,2.69,665
90,91,0.5,Ideal,F,VVS2,62.3,57.0,5.06,5.08,3.16,1850
91,92,0.54,Ideal,E,SI1,62.1,56.0,5.24,5.19,3.24,1637
92,93,0.4,Very Good,D,VVS2,59.4,61.0,4.77,4.82,2.85,977
93,94,1.51,Very Good,H,SI1,61.7,61.0,7.3,7.35,4.52,9218
94,95,0.5,Very Good,E,VVS2,60.9,59.0,5.07,5.11,3.1,2003
95,96,0.33,Ideal,E,VS1,60.9,57.0,4.47,4.5,2.73,850
96,97,0.9,Ideal,G,VVS1,61.6,57.0,6.24,6.16,3.82,5564
97,98,0.72,Very Good,I,SI1,63.2,57.0,5.71,5.75,3.62,2345
98,99,0.51,Ideal,G,VS2,61.8,55.0,5.15,5.18,3.19,1557
99,100,0.5,Good,G,SI1,63.9,57.0,5.02,5.06,3.22,1197
100,101,1.02,Fair,J,SI1,66.8,55.0,6.25,6.18,4.15,3027
101,102,0.7,Fair,E,SI1,65.2,58.0,5.57,5.54,3.62,2318
102,103,1.69,Ideal,F,VS2,62.2,57.0,7.59,7.66,4.74,16789
103,104,1.3,Premium,G,VVS1,60.5,60.0,7.01,7.05,4.25,11061
104,105,0.31,Ideal,D,VS1,61.1,55.0,4.37,4.4,2.68,774
105,106,1.22,Ideal,G,VS1,60.7,57.0,6.93,6.94,4.21,9002
106,107,1.0,Premium,F,VVS2,60.6,54.0,6.56,6.52,3.96,8924
107,108,0.28,Very Good,G,SI1,62.0,55.0,4.2,4.25,2.62,382
108,109,1.01,Good,E,SI1,64.3,59.0,6.31,6.34,4.07,4766
109,110,0.41,Very Good,H,VVS2,62.0,56.0,4.77,4.81,2.97,873
110,111,0.55,Very Good,E,SI1,59.7,60.0,5.31,5.41,3.2,1559
111,112,1.39,Premium,G,VS2,62.0,56.0,7.18,7.14,4.44,8874
112,113,0.36,Very Good,H,SI2,61.2,55.0,4.59,4.62,2.81,475
113,114,0.23,Very Good,E,VVS2,60.0,56.0,4.03,4.07,2.43,530
114,115,1.37,Premium,G,VS2,61.6,59.0,7.11,7.04,4.36,7951
115,116,0.31,Ideal,E,VVS1,60.2,61.0,4.4,4.43,2.66,865
116,117,0.81,Premium,F,SI1,61.9,59.0,5.97,5.95,3.69,3043
117,118,1.0,Premium,F,SI1,,59.0,6.4,6.36,4.0,5292
118,119,0.31,Ideal,G,VVS1,61.2,56.0,4.38,4.34,2.67,1046
119,120,2.02,Very Good,J,SI2,62.4,55.0,8.05,8.11,5.04,11757
120,121,0.34,Ideal,H,IF,61.7,56.0,4.5,4.51,2.78,863
121,122,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,789
122,123,1.68,Premium,F,SI1,60.7,62.0,7.72,7.66,4.67,12681
123,124,0.77,Ideal,E,SI2,60.7,55.0,6.01,5.95,3.63,2834
124,125,2.8,Premium,I,SI2,61.1,59.0,9.03,8.98,5.5,15030
125,126,0.9,Premium,I,VS2,61.2,62.0,6.19,6.13,3.77,3338
126,127,0.76,Very Good,E,SI1,63.0,59.0,5.76,5.8,3.64,2668
127,128,0.55,Premium,G,SI2,60.3,58.0,5.35,5.33,3.22,1186
128,129,0.31,Fair,G,VVS2,65.5,58.0,4.25,4.24,2.78,629
129,130,0.4,Premium,D,SI2,60.4,59.0,4.8,4.83,2.91,666
130,131,1.56,Premium,G,VS2,61.9,58.0,7.44,7.4,4.59,13299
131,132,0.3,Ideal,G,VVS2,62.7,57.0,4.26,4.29,2.68,684
132,133,0.31,Ideal,E,VS1,61.8,56.0,4.34,4.33,2.68,942
133,134,0.31,Ideal,E,VVS1,61.3,56.0,4.38,4.4,2.69,1105
134,135,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,526
135,136,2.2,Ideal,G,SI2,59.9,57.0,8.54,8.49,5.1,14691
136,137,0.73,Very Good,E,VS1,62.1,60.0,5.71,5.79,3.57,3353
137,138,0.9,Good,H,VS2,61.5,61.0,6.15,6.24,3.81,4156
138,139,0.75,Ideal,F,VS2,62.1,57.0,5.8,5.82,3.61,3081
139,140,0.5,Very Good,D,SI1,60.3,59.0,5.11,5.14,3.09,1415
140,141,0.4,Ideal,E,VS2,61.4,57.0,4.78,4.75,2.92,1150
141,142,0.41,Ideal,D,VVS2,62.3,57.0,4.76,4.74,2.96,1356
142,143,0.41,Premium,E,VS1,62.3,59.0,4.74,4.76,2.96,1079
143,144,0.36,Premium,J,SI1,61.3,60.0,4.59,4.52,2.79,541
144,145,1.71,Ideal,G,VS1,63.0,56.0,7.65,7.58,4.8,17009
145,146,1.02,Premium,H,SI1,60.3,59.0,6.5,6.44,3.9,4558
146,147,0.59,Very Good,F,SI1,61.7,57.0,5.39,5.43,3.34,1412
147,148,0.9,Very Good,D,VS2,63.0,62.0,6.06,6.13,3.84,4668
148,149,1.11,Premium,E,SI2,,61.0,6.66,6.61,4.09,4177
149,150,0.9,Very Good,F,SI1,62.5,62.0,6.08,6.11,3.81,3950
150,151,0.92,Very Good,E,VS1,60.9,61.0,6.22,6.25,3.8,5453
151,152,1.45,Very Good,J,VS2,62.8,57.0,7.14,7.17,4.49,6671
152,153,1.16,Ideal,I,VS2,61.5,57.0,6.78,6.75,4.16,5302
153,154,1.01,Premium,E,SI2,61.6,56.0,6.45,6.4,3.96,4751
154,155,0.7,Ideal,D,VVS2,60.9,59.0,5.69,5.73,3.48,3737
155,156,0.32,Ideal,G,IF,61.4,55.0,4.42,4.44,2.72,898
156,157,0.91,Very Good,G,SI2,60.0,57.0,6.27,6.32,3.78,3531
157,158,0.58,Ideal,D,SI2,62.7,56.0,5.32,5.3,3.33,1442
158,159,0.51,Ideal,E,SI1,62.4,55.0,5.14,5.09,3.19,1443
159,160,0.31,Ideal,F,VS2,62.6,57.0,4.27,4.33,2.69,625
160,161,0.97,Ideal,G,SI2,62.7,57.0,6.31,6.28,3.95,4101
161,162,1.03,Ideal,J,SI2,62.4,56.0,6.44,6.48,4.03,4054
162,163,0.3,Good,E,VVS2,59.8,64.0,4.34,4.29,2.58,814
163,164,1.0,Very Good,F,VS2,,55.0,6.39,6.44,3.99,6340
164,165,0.5,Very Good,E,VS1,63.9,55.0,4.98,5.03,3.2,1604
165,166,0.59,Ideal,I,VVS1,61.2,56.0,5.42,5.46,3.33,2049
166,167,0.26,Very Good,E,VS2,60.4,58.0,4.15,4.19,2.52,452
167,168,1.0,Good,D,VS1,64.0,58.0,6.27,6.21,3.99,6250
168,169,0.9,Very Good,D,SI1,61.0,63.0,6.13,6.1,3.73,4304
169,170,0.31,Ideal,D,SI1,62.0,55.0,4.36,4.38,2.71,571
170,171,1.53,Very Good,F,SI1,58.5,59.0,7.55,7.62,4.44,11713
171,172,0.81,Ideal,F,SI1,61.9,57.0,5.98,6.01,3.71,2977
172,173,0.32,Very Good,F,VS2,61.4,58.0,4.37,4.42,2.7,556
173,174,0.7,Very Good,F,SI1,60.3,57.0,5.73,5.77,3.47,2343
174,175,1.0,Fair,F,VS2,68.3,58.0,5.98,5.95,4.08,4312
175,176,0.34,Very Good,G,VS1,60.4,61.0,4.48,4.53,2.72,686
176,177,0.71,Ideal,G,SI1,62.5,57.0,5.72,5.64,3.55,2215
177,178,0.5,Fair,E,SI1,66.5,58.0,4.87,4.9,3.25,1098
178,179,0.32,Ideal,E,VVS2,62.0,54.0,4.41,4.43,2.74,790
179,180,1.63,Ideal,I,SI1,61.3,56.0,7.64,7.56,4.66,9694
180,181,0.96,Ideal,F,VS1,61.2,56.0,6.34,6.38,3.89,5767
181,182,1.24,Premium,H,SI2,61.2,57.0,7.02,6.87,4.25,5694
182,183,0.51,Very Good,H,VS1,62.3,57.0,5.1,5.12,3.18,1628
183,184,0.4,Good,H,VS2,63.1,62.0,4.75,4.66,2.97,717
184,185,1.21,Very Good,I,SI1,63.3,60.0,6.76,6.69,4.26,4404
185,186,0.43,Ideal,E,SI1,,56.0,4.82,4.79,3.01,975
186,187,0.72,Ideal,F,SI1,61.7,55.0,5.74,5.77,3.55,2470
187,188,0.75,Very Good,I,SI1,63.7,56.0,5.73,5.77,3.66,2300
188,189,0.42,Ideal,G,VVS2,60.6,56.0,4.86,4.88,2.95,933
189,190,0.9,Ideal,E,SI1,61.7,57.0,6.21,6.24,3.84,4940
190,191,0.32,Ideal,D,VS2,61.7,54.0,4.38,4.43,2.72,758
191,192,0.39,Premium,E,VS2,62.5,60.0,4.64,4.67,2.91,889
192,193,1.01,Very Good,I,SI2,63.2,58.0,6.34,6.31,4.0,3309
193,194,0.61,Ideal,F,VVS2,61.7,55.0,5.45,5.48,3.37,2833
194,195,0.54,Ideal,F,VVS2,61.8,55.0,5.27,5.25,3.25,2333
195,196,0.71,Ideal,E,VS2,62.0,55.0,5.72,5.77,3.56,3421
196,197,1.01,Very Good,G,VS1,58.8,58.0,6.52,6.61,3.86,6777
197,198,0.24,Ideal,F,VVS2,61.6,54.0,4.0,4.09,2.49,552
198,199,0.24,Ideal,F,VVS1,61.8,55.0,4.0,4.03,2.48,678
199,200,0.58,Premium,F,VS2,62.2,55.0,5.4,5.31,3.33,1586
200,201,1.01,Good,E,SI2,63.7,55.0,6.38,6.31,4.05,4118
201,202,0.9,Very Good,J,SI1,63.6,57.0,6.07,6.1,3.87,3225
202,203,0.72,Ideal,G,SI2,61.5,55.0,5.79,5.82,3.57,2420
203,204,0.7,Very Good,G,VS2,63.1,55.0,5.64,5.61,3.55,2657
204,205,2.01,Premium,G,SI2,59.4,58.0,8.19,8.15,4.85,15562
205,206,0.51,Very Good,G,VS2,62.4,62.0,5.07,5.09,3.17,1438
206,207,1.2,Premium,E,VS2,62.2,59.0,6.82,6.78,4.23,8602
207,208,1.24,Ideal,G,VS2,62.0,57.0,6.87,6.84,4.25,9188
208,209,1.26,Very Good,G,SI1,63.2,61.0,6.87,6.81,4.32,7000
209,210,0.33,Ideal,F,VS2,61.3,56.0,4.43,4.47,2.73,666
210,211,0.58,Ideal,E,SI1,61.6,55.0,5.33,5.38,3.3,1636
211,212,0.41,Ideal,G,VS1,61.9,57.0,4.81,4.76,2.96,961
212,213,1.19,Ideal,G,VVS2,60.8,59.0,6.84,6.81,4.15,9524
213,214,0.9,Very Good,G,SI2,61.1,55.0,6.21,6.26,3.81,3445
214,215,1.52,Premium,I,SI1,61.9,58.0,7.42,7.37,4.58,8631
215,216,1.5,Very Good,F,VS1,60.5,55.0,7.39,7.48,4.5,15585
216,217,1.22,Ideal,I,SI1,62.3,58.0,6.8,6.82,4.24,6398
217,218,0.3,Very Good,G,IF,62.9,58.0,4.21,4.25,2.66,895
218,219,1.0,Very Good,E,VS1,63.0,56.0,6.39,6.41,4.03,7453
219,220,0.24,Very Good,H,VVS2,61.4,57.0,4.02,4.04,2.47,449
220,221,1.01,Very Good,E,VS2,63.4,60.0,6.37,6.31,4.02,6787
221,222,1.7,Ideal,J,SI2,60.5,57.0,7.74,7.84,4.71,8505
222,223,0.55,Premium,E,VS2,61.4,57.0,5.29,5.27,3.24,1881
223,224,0.34,Very Good,E,SI1,60.3,57.0,4.53,4.56,2.74,596
224,225,0.44,Ideal,D,VVS1,61.0,57.0,4.91,4.93,3.0,2290
225,226,0.79,Ideal,D,SI1,61.1,57.0,5.94,6.0,3.65,3209
226,227,0.67,Good,F,VS1,59.8,60.3,5.62,5.69,3.38,2479
227,228,0.31,Premium,H,SI1,61.0,61.0,4.39,4.33,2.66,558
228,229,1.22,Ideal,H,SI1,61.9,55.0,6.82,6.87,4.24,7870
229,230,1.5,Good,H,SI2,59.8,61.0,7.39,7.49,4.45,6798
230,231,0.9,Ideal,G,SI2,62.5,56.0,6.15,6.2,3.86,3521
231,232,0.38,Ideal,F,VS2,62.2,54.0,4.64,4.66,2.89,870
232,233,1.01,Ideal,G,VS1,61.8,57.0,6.45,6.4,3.97,6618
233,234,0.3,Ideal,F,VVS2,61.7,56.0,4.32,4.34,2.67,694
234,235,0.71,Good,E,SI2,58.8,63.0,5.75,5.88,3.42,2120
235,236,1.21,Premium,H,IF,62.2,58.0,6.83,6.8,4.24,8446
236,237,1.0,Ideal,F,VS2,62.6,57.0,6.4,6.35,3.99,6804
237,238,0.9,Very Good,D,SI2,60.3,63.0,6.12,6.22,3.72,3534
238,239,0.91,Very Good,H,VS1,63.4,56.0,6.18,6.12,3.9,4224
239,240,0.41,Ideal,D,VVS2,62.5,57.0,4.75,4.72,2.96,1181
240,241,0.39,Ideal,E,SI1,61.1,55.0,4.74,4.75,2.9,628
241,242,1.28,Premium,H,SI2,60.2,58.0,7.13,7.03,4.26,6093
242,243,0.32,Very Good,G,VS2,60.9,58.0,4.42,4.45,2.7,564
243,244,0.25,Good,D,VVS2,57.5,61.0,4.16,4.19,2.4,548
244,245,1.01,Very Good,G,VVS1,61.8,59.0,6.47,6.41,3.98,8373
245,246,0.31,Ideal,H,SI1,61.5,55.0,4.39,4.42,2.71,464
246,247,0.9,Ideal,E,SI2,62.6,57.0,6.13,6.2,3.86,3808
247,248,0.71,Ideal,I,SI1,62.2,55.0,5.7,5.75,3.56,2376
248,249,0.44,Good,E,VS2,59.0,64.0,5.01,4.94,2.93,1001
249,250,0.33,Premium,I,VVS2,62.1,56.0,4.45,4.41,2.75,743
250,251,0.56,Ideal,G,IF,62.0,56.0,5.3,5.32,3.29,2442
251,252,0.24,Very Good,E,VVS2,60.0,57.0,4.07,4.1,2.45,552
252,253,0.36,Very Good,F,SI1,60.7,54.0,4.64,4.67,2.83,641
253,254,0.41,Ideal,D,VS2,62.8,55.0,4.73,4.7,2.96,1076
254,255,0.31,Ideal,F,IF,62.2,55.0,4.35,4.38,2.71,921
255,256,0.52,Very Good,G,VS1,62.3,58.0,5.14,5.17,3.21,1629
256,257,0.43,Ideal,D,SI1,61.6,56.0,4.86,4.82,2.98,1036
257,258,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,14344
258,259,0.41,Ideal,I,IF,,57.0,4.78,4.81,2.93,953
259,260,0.59,Ideal,E,VS2,61.4,58.0,5.38,5.4,3.31,1657
260,261,0.4,Very Good,F,SI1,63.1,58.0,4.69,4.66,2.95,882
261,262,0.71,Premium,D,VS2,58.7,61.0,5.88,5.85,3.44,2968
262,263,1.09,Ideal,F,VVS2,62.5,55.0,6.6,6.52,4.1,9845
263,264,2.11,Premium,G,SI2,62.2,60.0,8.19,8.15,5.08,16336
264,265,0.34,Ideal,G,VVS1,60.5,55.0,4.53,4.56,2.75,844
265,266,0.71,Very Good,E,SI2,62.2,58.0,5.68,5.73,3.55,2313
266,267,0.43,Ideal,D,VS2,62.0,55.0,4.86,4.81,3.0,1129
267,268,0.38,Ideal,H,SI1,61.2,56.0,4.68,4.63,2.85,834
268,269,1.17,Very Good,G,SI1,63.3,61.0,6.65,6.59,4.19,5025
269,270,1.22,Ideal,G,VS2,62.0,55.0,6.83,6.91,4.26,7923
270,271,0.5,Ideal,G,VVS1,62.2,54.0,5.1,5.13,3.18,1883
271,272,0.55,Ideal,F,VVS2,61.5,57.0,5.24,5.27,3.23,2294
272,273,0.41,Ideal,H,VVS2,62.0,56.0,4.74,4.78,2.95,899
273,274,0.82,Premium,G,SI2,62.3,58.0,5.96,5.98,3.72,2456
274,275,0.39,Ideal,G,VS2,62.5,54.0,4.67,4.7,2.93,857
275,276,0.53,Very Good,J,VS2,60.9,59.0,5.2,5.27,3.19,1023
276,277,0.51,Very Good,G,VVS2,61.7,58.0,5.13,5.18,3.18,1875
277,278,0.23,Very Good,F,VS1,59.8,57.0,4.04,4.06,2.42,402
278,279,0.36,Premium,E,VS2,61.3,60.0,4.59,4.54,2.8,1013
279,280,0.46,Good,D,VS2,63.2,56.0,4.89,4.92,3.1,1205
280,281,0.7,Good,H,VVS1,62.7,56.0,5.6,5.66,3.53,2877
281,282,2.11,Premium,E,SI2,62.4,61.0,8.19,8.1,5.08,18034
282,283,0.7,Premium,E,SI1,59.7,60.0,5.81,5.79,3.46,2394
283,284,2.43,Ideal,I,SI2,62.3,59.0,8.54,8.61,5.34,17856
284,285,0.3,Ideal,E,VS2,61.3,57.0,4.33,4.29,2.64,844
285,286,0.51,Very Good,G,VS1,62.7,56.0,5.08,5.13,3.2,1656
286,287,1.03,Premium,J,SI1,61.1,61.0,6.49,6.44,3.95,3749
287,288,0.7,Very Good,F,VVS2,58.7,63.0,5.82,5.79,3.41,3234
288,289,0.41,Premium,E,VS1,59.9,58.0,4.83,4.88,2.91,1079
289,290,0.72,Ideal,F,SI1,61.8,57.0,5.68,5.74,3.53,2440
290,291,0.77,Good,H,SI1,63.0,65.0,5.82,5.74,3.64,2393
291,292,0.35,Ideal,I,VS1,60.9,57.0,4.59,4.54,2.78,709
292,293,0.38,Ideal,D,VS1,62.5,56.0,4.64,4.67,2.91,1067
293,294,0.31,Premium,G,VS1,62.1,58.0,4.31,4.35,2.69,625
294,295,0.54,Ideal,G,VVS2,61.0,56.0,5.25,5.3,3.22,1985
295,296,0.32,Ideal,G,VVS2,61.6,55.0,4.4,4.43,2.72,708
296,297,0.4,Ideal,D,SI1,61.8,55.0,4.74,4.78,2.94,772
297,298,0.35,Ideal,F,VVS2,62.1,56.0,4.52,4.56,2.82,745
298,299,0.31,Very Good,E,SI1,63.2,59.0,4.33,4.28,2.72,698
299,300,1.65,Ideal,J,SI1,62.5,56.0,7.59,7.54,4.73,8334
300,301,1.69,Ideal,F,SI1,63.0,57.0,7.62,7.55,4.78,13872
301,302,0.33,Ideal,E,VS1,61.1,56.0,4.45,4.48,2.73,850
302,303,0.52,Very Good,E,VS1,59.1,58.0,5.31,5.38,3.16,1875
303,304,0.35,Very Good,H,SI2,63.2,61.0,4.49,4.47,2.83,551
304,305,0.42,Very Good,F,VS1,60.9,58.0,4.84,4.88,2.96,910
305,306,0.7,Good,F,SI1,64.1,56.0,5.63,5.6,3.6,2289
306,307,0.9,Very Good,I,VS2,63.4,57.0,6.07,6.1,3.86,3489
307,308,0.71,Very Good,J,SI2,60.9,55.0,5.76,5.87,3.54,1986
308,309,0.84,Good,G,VS1,63.6,57.0,5.98,5.93,3.79,3316
309,310,0.54,Premium,D,SI1,62.6,57.0,5.21,5.12,3.23,1650
310,311,0.7,Ideal,H,SI2,59.9,57.0,5.77,5.74,3.45,2142
311,312,0.57,Ideal,F,VVS1,62.5,56.0,5.27,5.32,3.31,2682
312,313,0.56,Ideal,I,VS2,62.1,54.0,5.3,5.33,3.3,1237
313,314,0.71,Premium,F,VS1,,58.0,5.71,5.67,3.57,2879
314,315,0.59,Ideal,H,VS2,62.2,59.0,5.38,5.34,3.33,1648
315,316,0.41,Ideal,G,SI2,61.3,56.0,4.78,4.81,2.94,605
316,317,1.04,Ideal,D,IF,61.8,57.0,6.49,6.52,4.02,14494
317,318,0.38,Premium,F,VS2,60.9,56.0,4.72,4.67,2.86,1026
318,319,0.9,Very Good,D,SI1,62.5,59.0,6.11,6.15,3.83,4579
319,320,0.73,Ideal,E,VS2,62.4,57.0,5.75,5.79,3.6,3201
320,321,0.3,Good,H,SI1,63.4,60.0,4.23,4.25,2.69,432
321,322,0.71,Ideal,D,VVS2,61.6,56.0,5.69,5.77,3.53,4222
322,323,0.7,Good,H,VS2,63.8,60.0,5.59,5.51,3.54,2083
323,324,0.32,Ideal,J,IF,62.2,56.0,4.37,4.41,2.73,533
324,325,1.74,Ideal,D,SI2,64.5,56.0,7.56,7.54,4.87,12361
325,326,0.57,Ideal,D,VS2,61.8,56.0,5.31,5.34,3.29,1998
326,327,1.11,Premium,E,SI2,62.5,58.0,6.63,6.61,4.14,4664
327,328,0.34,Premium,G,VS2,60.3,58.0,4.49,4.53,2.72,596
328,329,0.8,Very Good,E,VS1,62.4,54.0,5.98,5.94,3.72,4495
329,330,1.83,Premium,I,SI1,62.9,55.0,7.9,7.78,4.93,11883
330,331,0.9,Premium,G,I1,61.3,59.0,6.2,6.15,3.78,1777
331,332,0.7,Ideal,H,VS2,62.4,58.0,5.67,5.71,3.55,2429
332,333,0.32,Ideal,E,VVS2,61.3,55.0,4.41,4.43,2.71,1010
333,334,1.51,Premium,G,SI1,61.6,59.0,7.32,7.3,4.5,10739
334,335,1.5,Fair,G,VS2,64.4,56.0,7.16,7.09,4.59,12787
335,336,0.23,Very Good,E,VVS1,61.8,59.0,3.9,3.93,2.42,530
