id,carat,cut,color,clarity,depth,table,x,y,z,price
2673,0.32,Very Good,D,SI1,60.1,60.0,4.38,4.4,2.64,619
2762,1.0,Very Good,F,SI1,61.8,59.0,6.33,6.38,3.93,4712
24592,0.31,Premium,E,VS2,58.6,58.0,4.46,4.42,2.6,639
21096,0.7,Very Good,F,VS1,62.2,58.0,5.64,5.75,3.54,2889
18734,0.71,Ideal,F,VS1,61.9,56.0,5.69,5.72,3.53,3710
13679,2.02,Very Good,I,SI2,61.9,60.0,8.12,8.06,5.01,14715
18436,1.04,Very Good,F,VS2,61.0,60.0,6.54,6.48,3.97,6361
9428,2.1,Premium,J,SI1,62.9,58.0,8.15,8.09,5.11,13930
10753,1.59,Premium,J,VS2,62.6,59.0,7.43,7.45,4.66,7811
2358,0.9,Ideal,J,VS1,62.1,57.0,6.16,6.18,3.83,3418
17495,0.74,Very Good,G,VS1,60.9,59.0,5.9,5.86,3.58,3389
8283,1.18,Premium,G,SI2,,60.0,6.88,6.81,4.14,4988
8632,0.23,Very Good,E,VVS2,61.4,55.0,3.92,3.99,2.43,458
16616,0.36,Ideal,E,VVS2,61.8,54.0,4.6,4.62,2.85,928
23280,0.33,Ideal,H,VVS1,,55.0,4.4,4.44,2.75,752
19528,1.01,Premium,F,VS2,61.6,59.0,6.43,6.39,3.95,6707
8732,1.0,Good,D,SI1,60.5,60.0,6.37,6.42,3.87,5546
5792,1.03,Ideal,D,VS1,61.8,56.0,6.46,6.54,4.02,8612
20972,0.74,Ideal,E,SI1,62.3,58.0,5.74,5.78,3.59,2872
16583,1.2,Ideal,G,SI2,62.2,56.0,6.74,6.84,4.22,5385
24719,1.58,Ideal,H,VS2,61.4,56.0,7.5,7.56,4.62,12334
13055,1.25,Premium,H,SI1,60.7,58.0,7.04,6.99,4.26,5027
17280,1.51,Premium,E,SI1,61.5,58.0,7.33,7.38,4.52,12530
20359,1.19,Premium,G,VS2,58.9,61.0,6.88,6.81,4.03,7397
17587,0.83,Ideal,G,VS1,62.1,57.0,5.99,6.03,3.73,4181
4452,1.06,Ideal,H,SI2,60.6,59.0,6.63,6.6,4.01,4267
20513,0.31,Very Good,I,SI1,62.8,60.0,4.29,4.31,2.7,418
6657,0.27,Ideal,I,VVS2,62.0,54.5,4.15,4.19,2.58,412
1740,1.21,Premium,H,VS2,59.3,60.0,6.99,6.93,4.13,6974
13464,0.91,Good,G,SI1,63.1,63.0,6.11,6.16,3.87,3506
19591,1.01,Ideal,D,VS2,62.6,55.0,6.42,6.46,4.03,8279
24920,0.37,Premium,J,VS2,60.7,60.0,4.65,4.68,2.83,454
10591,1.25,Good,I,SI2,63.3,55.8,6.83,6.87,4.34,5197
10302,1.59,Ideal,H,VS1,60.7,56.0,7.54,7.58,4.59,13839
876,0.27,Ideal,I,VS2,62.1,56.0,4.14,4.18,2.58,534
2911,0.8,Premium,F,VS2,62.1,60.0,5.92,5.86,3.66,3502
1974,0.43,Ideal,I,VVS2,60.9,57.0,4.85,4.9,2.97,929
6629,0.31,Premium,G,VS2,62.6,57.0,4.32,4.3,2.7,698
14668,0.9,Premium,I,SI2,60.6,60.0,6.23,6.28,3.79,3001
25459,1.2,Very Good,F,VS1,62.9,57.0,6.73,6.78,4.25,9586
18968,1.5,Premium,G,I1,60.4,55.0,7.4,7.32,4.45,4140
812,0.4,Premium,D,SI2,60.0,58.0,4.8,4.84,2.89,666
7794,0.57,Very Good,F,VS2,59.5,57.0,5.39,5.43,3.22,1754
56,1.02,Very Good,F,VS1,62.4,58.0,6.42,6.47,4.02,7587
11789,0.41,Ideal,E,VS1,61.7,57.0,4.8,4.76,2.95,1153
2140,0.3,Ideal,E,VS2,61.3,57.0,4.3,4.34,2.65,621
17854,2.05,Very Good,I,SI2,59.8,56.0,8.32,8.41,5.0,12839
17583,0.35,Ideal,H,VS2,61.2,56.0,4.54,4.55,2.78,571
8279,0.56,Ideal,D,VS2,62.7,57.0,5.25,5.28,3.3,1753
23913,0.41,Ideal,H,VVS1,61.5,55.0,4.79,4.81,2.95,945
7347,0.34,Ideal,G,VS2,61.0,55.0,4.56,4.58,2.79,628
9075,1.11,Very Good,I,SI2,63.7,58.0,6.57,6.53,4.17,3882
26630,0.47,Premium,J,SI2,61.9,59.0,4.99,4.96,3.08,867
8856,1.21,Premium,D,VVS2,61.1,59.0,6.9,6.89,4.21,14841
1835,1.12,Ideal,I,SI1,62.0,56.0,6.69,6.64,4.13,4829
25242,1.07,Premium,H,VS1,62.5,56.0,6.6,6.52,4.1,5764
19744,1.13,Ideal,H,VS2,62.0,57.0,6.7,6.66,4.14,5885
21425,0.3,Very Good,G,VS1,62.6,56.0,4.29,4.31,2.69,581
22706,0.55,Good,J,VS2,64.1,54.0,5.18,5.21,3.33,1034
23007,0.32,Very Good,G,VVS1,61.2,59.0,4.41,4.45,2.71,876
17447,0.4,Premium,E,SI1,60.9,60.0,4.77,4.75,2.9,945
20210,0.33,Ideal,H,VVS1,62.1,55.0,4.42,4.44,2.75,752
764,1.34,Ideal,J,VS1,62.0,57.0,7.12,7.04,4.39,6010
25594,1.5,Premium,E,SI2,61.2,59.0,7.36,7.41,4.52,9900
5340,1.07,Ideal,H,SI2,62.4,55.0,6.56,6.59,4.1,4840
6936,1.57,Premium,I,SI2,60.9,58.0,7.53,7.51,4.58,7484
23269,0.72,Premium,F,VS2,60.8,58.0,5.78,5.74,3.5,2530
3114,1.52,Premium,G,VVS2,62.9,59.0,7.29,7.25,4.57,15404
12630,0.7,Good,H,SI1,63.7,57.0,5.58,5.57,3.55,2394
19815,1.01,Premium,G,SI1,62.6,60.0,6.36,6.29,3.96,5006
9143,0.3,Ideal,E,VVS2,62.2,57.0,4.28,4.31,2.67,766
40,1.55,Good,H,VS2,61.0,61.0,7.42,7.47,4.54,11364
26232,0.52,Very Good,H,VS2,63.5,58.0,5.08,5.09,3.23,1389
10618,1.71,Premium,I,VS1,,57.0,7.82,7.73,4.71,11246
10174,0.5,Premium,D,SI1,62.3,58.0,5.07,5.04,3.15,1654
11584,0.71,Ideal,D,VS2,62.7,57.0,5.7,5.75,3.59,3212
6253,0.32,Ideal,G,VS1,61.2,56.0,4.39,4.43,2.7,645
22850,1.12,Premium,F,SI2,61.6,58.0,6.69,6.63,4.1,4654
1035,0.9,Premium,E,SI2,59.5,61.0,6.3,6.24,3.73,3084
17405,1.0,Ideal,D,SI1,62.7,57.0,6.34,6.38,3.99,6073
17427,1.4,Very Good,I,SI1,61.3,59.0,7.19,7.23,4.42,7644
9267,0.37,Ideal,H,SI1,60.9,57.0,4.63,4.67,2.83,552
23816,1.11,Ideal,I,SI1,62.4,55.0,6.6,6.64,4.13,4273
25474,1.0,Very Good,E,SI2,60.6,61.0,6.39,6.44,3.89,4312
11594,1.01,Premium,G,SI2,60.6,59.0,6.49,6.41,3.91,3981
23604,0.37,Very Good,G,IF,61.8,56.0,4.6,4.64,2.85,1003
1832,1.1,Premium,I,SI2,62.9,59.0,6.6,6.53,4.13,3604
21349,1.53,Very Good,H,VS1,59.5,63.0,7.44,7.51,4.45,9896
6489,1.2,Very Good,H,SI1,61.4,63.0,6.76,6.72,4.14,4603
5885,0.34,Very Good,E,SI1,62.9,56.0,4.45,4.48,2.81,596
19896,1.55,Ideal,I,VS2,61.8,55.0,7.4,7.44,4.58,11574
6893,0.41,Ideal,G,SI1,61.7,54.0,4.78,4.81,2.96,688
14651,1.2,Very Good,G,VS2,62.2,58.0,6.75,6.79,4.21,8124
4542,1.13,Ideal,D,VS1,61.2,57.0,6.7,6.72,4.1,11477
9902,0.31,Ideal,H,VS2,62.1,55.0,4.35,4.32,2.69,628
1665,0.32,Ideal,F,VS2,61.6,57.0,4.4,4.43,2.72,645
12710,0.32,Premium,D,SI1,60.4,58.0,4.44,4.47,2.69,589
1489,0.54,Ideal,G,VS1,,56.0,5.23,5.19,3.24,1760
17477,0.4,Ideal,I,VS2,61.7,57.0,4.73,4.77,2.93,770
10865,1.21,Premium,D,SI2,59.7,58.0,7.06,6.96,4.19,4946
23361,0.74,Very Good,E,SI1,60.0,57.0,5.85,5.89,3.52,2839
18007,0.52,Very Good,E,SI1,60.8,56.0,5.17,5.2,3.15,1343
15030,0.3,Very Good,E,IF,60.1,60.0,4.3,4.32,2.59,1026
10418,1.51,Good,F,SI2,64.2,61.0,7.24,7.19,4.63,7695
26433,0.72,Premium,D,SI2,61.3,59.0,5.79,5.76,3.54,2155
23705,0.32,Ideal,G,VS2,61.5,57.0,4.4,4.41,2.71,561
5699,0.92,Ideal,J,SI1,61.7,57.0,6.21,6.26,3.85,3181
21073,0.39,Very Good,F,VS1,57.1,61.0,4.86,4.91,2.79,1000
4349,1.02,Ideal,E,SI2,62.9,57.0,6.44,6.38,4.03,4798
25801,1.24,Premium,F,VVS2,62.0,55.0,6.95,6.88,4.29,11231
26884,1.0,Very Good,G,VS2,63.1,61.0,6.38,6.33,4.01,5806
17663,1.51,Ideal,I,VS2,,54.0,7.38,7.42,4.57,9891
9177,0.27,Ideal,F,VVS1,62.5,56.0,4.1,4.14,2.57,760
11039,0.4,Premium,J,VS1,63.0,58.0,4.7,4.66,2.95,810
14942,1.1,Ideal,G,VS1,61.5,57.0,6.62,6.65,4.08,6984
12815,0.55,Ideal,H,VS2,61.8,54.0,5.28,5.3,3.27,1402
8505,1.0,Ideal,D,SI1,62.8,55.0,6.3,6.38,3.98,5639
11148,2.14,Premium,I,SI2,62.1,58.0,8.31,8.23,5.13,12970
7568,2.17,Premium,F,I1,60.7,59.0,8.43,8.35,5.09,9078
16743,0.91,Good,F,SI1,64.0,57.0,6.17,6.08,3.92,3363
9898,0.8,Ideal,H,SI1,61.0,57.0,6.07,6.0,3.68,2818
25450,0.91,Premium,H,SI1,60.9,58.0,6.26,6.22,3.8,3414
17240,1.53,Ideal,H,SI1,61.1,57.0,7.45,7.44,4.55,10659
19443,1.7,Good,H,SI1,64.1,58.0,7.54,7.51,4.83,9158
24824,0.42,Ideal,G,VS2,61.7,57.0,4.8,4.83,2.97,847
6723,1.01,Very Good,G,SI2,60.8,63.0,6.4,6.36,3.88,3577
22440,1.01,Very Good,G,SI2,63.1,55.0,6.36,6.31,4.0,3507
15533,0.41,Ideal,G,VS1,60.8,57.0,4.8,4.84,2.93,899
1509,0.33,Ideal,G,SI2,61.7,55.0,4.46,4.48,2.76,463
17715,0.77,Ideal,F,SI1,61.3,56.0,5.91,5.94,3.63,2717
12935,1.05,Good,E,VS1,63.1,59.0,6.45,6.49,4.08,7826
15473,0.38,Ideal,H,VVS2,62.3,53.3,4.65,4.69,2.91,832
15744,2.23,Premium,J,VS2,61.0,58.0,8.39,8.36,5.11,14867
21649,0.74,Very Good,E,VS2,61.8,58.0,5.79,5.82,3.59,3180
2538,1.52,Fair,H,SI1,61.2,60.0,7.39,7.29,4.49,8818
10423,2.33,Very Good,H,SI2,63.2,56.0,8.44,8.35,5.31,13500
17161,0.43,Very Good,I,SI2,61.5,54.0,4.86,4.89,3.0,691
4615,0.31,Ideal,H,VS2,61.5,57.0,4.38,4.33,2.68,628
8760,0.8,Fair,E,I1,65.5,54.0,5.84,5.68,3.78,1232
6233,1.0,Premium,D,VS1,62.1,55.0,6.41,6.34,3.96,7812
14007,0.41,Ideal,F,SI1,61.8,55.0,4.75,4.8,2.95,711
25898,0.33,Ideal,E,VVS2,61.0,54.0,4.49,4.52,2.75,741
17575,1.0,Very Good,H,VS2,64.7,56.0,6.23,6.29,4.05,5883
2948,0.23,Ideal,G,IF,61.8,56.0,3.92,3.94,2.43,536
11978,0.7,Very Good,G,SI1,62.5,60.0,5.64,5.68,3.54,2042
11465,0.23,Very Good,D,VVS2,58.5,62.0,4.04,4.06,2.37,472
17324,1.03,Premium,F,I1,62.3,59.0,6.42,6.46,4.01,3444
25945,0.4,Ideal,E,VS1,62.3,56.0,4.73,4.71,2.94,1125
11282,1.05,Good,H,SI1,63.2,56.0,6.47,6.51,4.1,4937
10157,1.79,Very Good,I,VS2,60.5,56.0,7.87,7.9,4.77,12610
15168,0.3,Ideal,F,VS2,62.1,55.0,4.26,4.31,2.66,605
3638,1.02,Premium,D,SI2,59.3,60.0,6.56,6.52,3.88,4583
2635,0.98,Very Good,G,SI2,62.2,57.0,6.33,6.37,3.95,4542
26701,0.3,Premium,H,VS1,60.4,61.0,4.34,4.3,2.61,675
10442,1.06,Ideal,D,VS2,62.5,54.0,6.53,6.6,4.1,6856
11784,0.41,Premium,E,VS1,60.6,59.0,4.8,4.77,2.9,1153
3787,0.66,Very Good,F,SI2,61.6,54.0,5.62,5.64,3.47,1311
23860,1.7,Premium,I,SI2,61.7,56.0,7.66,7.57,4.7,7140
10525,0.3,Very Good,G,VS2,63.5,55.0,4.25,4.22,2.69,675
22742,0.56,Ideal,D,VS1,60.4,56.0,5.33,5.36,3.23,1924
8022,0.93,Premium,F,SI1,62.3,59.0,6.25,6.21,3.88,5729
25941,0.24,Very Good,G,VVS1,62.3,59.0,3.92,3.95,2.45,432
23946,0.32,Ideal,E,VS2,62.0,55.0,4.46,4.38,2.74,900
21320,0.31,Ideal,E,IF,60.9,55.0,4.39,4.41,2.68,987
17311,0.56,Ideal,F,VS2,61.3,54.0,5.37,5.34,3.28,1814
23405,0.92,Premium,F,SI2,61.8,58.0,6.19,6.23,3.84,3854
1892,1.12,Premium,G,SI1,60.1,58.0,6.78,6.83,4.09,5233
19406,0.31,Ideal,G,IF,61.4,56.0,4.38,4.41,2.7,891
126,0.9,Premium,I,VS2,61.2,62.0,6.19,6.13,3.77,3338
9646,0.36,Ideal,E,SI1,61.6,56.0,4.56,4.59,2.82,631
8477,0.32,Premium,F,VS2,61.3,60.0,4.4,4.37,2.69,828
5230,0.3,Ideal,D,VS2,62.9,56.0,4.28,4.24,2.68,911
12527,1.58,Ideal,F,VS2,60.0,57.0,7.58,7.52,4.53,14044
8093,0.3,Very Good,E,VS1,58.4,62.0,4.37,4.43,2.57,640
17484,0.4,Premium,F,VVS1,61.1,59.0,4.78,4.75,2.91,1323
13766,1.54,Very Good,D,SI1,63.0,59.0,7.31,7.35,4.62,13196
23952,0.75,Ideal,H,VVS2,62.0,55.1,5.83,5.85,3.62,2992
25346,0.54,Ideal,I,VVS1,62.7,57.0,5.22,5.14,3.25,1681
1802,1.0,Very Good,F,SI1,63.4,61.0,6.35,6.29,4.01,4939
443,0.5,Very Good,D,VS2,63.8,56.0,5.05,5.08,3.23,1580
5176,0.9,Premium,F,I1,61.9,59.0,6.18,6.16,3.82,2316
603,0.3,Ideal,E,VS2,62.6,54.0,4.31,4.28,2.69,844
4231,0.35,Ideal,I,VS1,61.6,56.0,4.58,4.54,2.81,709
19303,0.52,Ideal,D,VS2,61.9,55.0,5.19,5.21,3.22,1802
4271,0.52,Ideal,H,VVS1,60.4,57.0,5.23,5.2,3.15,1872
5688,2.0,Fair,H,I1,69.8,54.0,7.6,7.56,5.29,5914
5834,1.01,Good,H,SI1,59.4,60.0,6.49,6.54,3.87,4616
15326,1.53,Very Good,E,SI1,62.6,57.0,7.25,7.41,4.59,12386
25913,0.31,Ideal,E,VS2,61.8,54.0,4.37,4.34,2.69,872
21755,0.41,Ideal,F,VS1,60.6,57.0,4.84,4.79,2.92,1076
5837,0.55,Ideal,F,VS1,60.5,57.0,5.3,5.34,3.22,2119
19222,0.31,Very Good,E,IF,61.6,54.0,4.38,4.42,2.71,958
23022,0.74,Ideal,G,VS2,61.3,55.0,5.82,5.89,3.59,2604
8317,0.53,Premium,H,SI2,62.5,60.0,5.18,5.16,3.23,1113
1472,1.04,Ideal,I,VS2,61.8,55.0,6.5,6.54,4.03,5242
11557,1.22,Very Good,E,SI2,63.3,56.0,6.78,6.75,4.28,5739
10339,0.3,Premium,F,VVS2,61.5,58.0,4.29,4.31,2.64,737
2441,0.53,Ideal,D,SI1,62.0,55.0,5.22,5.24,3.24,1631
12169,0.4,Premium,F,VS1,62.6,58.0,4.72,4.68,2.94,1050
7213,1.0,Very Good,I,VS2,63.5,56.0,6.33,6.3,4.01,4620
20488,0.72,Very Good,H,SI1,60.3,55.0,5.84,5.85,3.52,2505
19707,0.31,Good,G,VS1,63.2,57.0,4.28,4.33,2.72,625
19681,0.72,Ideal,D,SI2,62.3,57.0,5.8,5.75,3.6,2457
24845,0.56,Premium,F,SI2,60.2,58.0,5.36,5.33,3.22,1715
7591,0.5,Premium,D,SI2,62.1,57.0,5.12,5.09,3.17,1279
9913,1.01,Good,D,SI1,58.5,64.0,6.4,6.45,3.76,5271
14247,0.35,Premium,F,VS2,62.0,59.0,4.51,4.55,2.81,706
11512,0.3,Ideal,E,VS2,62.0,55.0,4.3,4.25,2.65,844
11499,0.83,Very Good,D,VS1,58.2,59.0,6.19,6.24,3.62,4521
11277,0.28,Very Good,D,VS1,61.7,58.0,4.19,4.24,2.6,487
5727,0.33,Ideal,H,VVS1,62.1,53.0,4.48,4.5,2.79,730
13604,1.1,Very Good,G,SI1,59.4,58.0,6.72,6.79,4.01,4997
12297,0.23,Very Good,D,VVS2,59.6,61.0,3.99,4.03,2.39,499
11463,1.5,Premium,G,VS1,62.4,60.0,7.29,7.22,4.53,13009
13432,1.35,Premium,I,SI2,62.3,59.0,7.09,7.03,4.4,5919
12740,0.41,Ideal,G,VS1,61.5,56.0,4.79,4.77,2.94,961
16761,1.22,Premium,F,VS2,62.3,57.0,6.84,6.8,4.25,8731
10250,0.53,Ideal,F,SI1,61.6,54.0,5.23,5.25,3.23,1284
26193,0.54,Ideal,D,SI1,60.7,56.0,5.3,5.27,3.21,1786
24879,1.24,Ideal,G,VS1,60.1,58.0,7.03,6.97,4.21,9123
11724,1.0,Premium,F,VS2,,55.0,6.38,6.35,4.0,5864
24265,0.32,Premium,D,SI1,60.2,58.0,4.43,4.4,2.66,756
14842,0.91,Premium,D,SI2,62.3,57.0,6.22,6.14,3.85,3781
22017,1.74,Ideal,I,VS1,61.8,56.0,7.69,7.73,4.77,15189
22895,1.58,Ideal,I,VS2,61.4,55.0,7.49,7.55,4.62,10197
8316,0.31,Ideal,G,VVS2,62.1,56.0,4.33,4.27,2.67,907
4699,0.32,Ideal,D,VS2,61.6,56.0,4.37,4.4,2.7,758
5409,1.0,Good,J,VS2,64.3,59.0,6.27,6.21,4.01,3580
16782,0.71,Ideal,E,SI2,,57.0,5.89,5.86,3.44,2340
11394,0.3,Ideal,E,VS2,62.4,57.0,4.26,4.24,2.65,844
12457,0.77,Very Good,H,SI2,63.6,58.0,5.77,5.81,3.68,2129
22491,0.5,Ideal,G,VVS1,62.2,56.0,5.12,5.1,3.18,2070
4187,0.84,Very Good,G,SI2,62.8,57.0,6.0,6.04,3.78,3015
1456,0.71,Premium,F,VS1,62.1,53.0,5.77,5.7,3.56,2961
10402,0.74,Ideal,J,VS1,61.2,56.0,5.82,5.87,3.58,1985
11029,1.5,Premium,H,VS1,62.1,59.0,7.27,7.31,4.53,11088
13903,0.31,Ideal,E,VS2,61.4,54.0,4.38,4.41,2.7,680
4872,1.06,Very Good,I,SI1,60.2,59.0,6.62,6.67,4.0,4507
11603,0.7,Ideal,E,SI2,62.9,56.0,5.66,5.6,3.54,2100
11931,0.32,Premium,H,SI1,60.9,60.0,4.4,4.43,2.69,461
2484,0.81,Premium,E,VS2,61.5,58.0,5.99,5.94,3.97,3674
20100,0.56,Premium,G,SI1,61.7,58.0,5.31,5.29,3.27,1176
18733,0.31,Premium,H,VS1,61.7,61.0,4.34,4.31,2.67,698
12049,1.0,Good,D,SI2,62.8,61.0,6.31,6.36,3.98,4520
11082,1.37,Ideal,G,VVS1,62.6,55.0,7.07,7.12,4.44,12342
10827,0.3,Premium,D,SI1,58.8,57.0,4.44,4.4,2.6,662
1686,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1000
11894,0.8,Ideal,D,SI1,62.2,57.0,5.89,5.85,3.65,3011
25704,1.05,Ideal,H,SI1,61.3,57.0,6.51,6.54,4.0,6255
11036,0.5,Ideal,H,IF,61.0,56.0,5.15,5.17,3.15,1923
10008,0.51,Ideal,F,VVS2,61.7,56.0,5.11,5.13,3.16,2197
1978,0.7,Premium,F,SI1,61.5,57.0,5.74,5.68,3.51,2354
17219,1.01,Very Good,D,SI2,61.8,60.0,6.37,6.41,3.95,4588
19127,0.31,Premium,G,VS2,59.8,60.0,4.4,4.43,2.64,544
14348,2.01,Premium,I,VS2,61.1,60.0,8.06,8.12,4.94,17433
1113,1.47,Very Good,E,VS2,62.4,59.0,7.13,7.2,4.47,12547
8448,1.55,Very Good,E,SI1,62.4,58.0,7.36,7.42,4.61,10851
5193,2.01,Ideal,E,SI2,62.2,57.0,8.04,8.09,5.02,17688
15514,0.31,Ideal,G,VVS2,62.4,54.0,4.37,4.38,2.73,687
904,0.3,Premium,F,VS2,61.6,58.0,4.31,4.29,2.65,776
4840,0.53,Ideal,D,VS2,60.9,57.0,5.24,5.17,3.17,1877
19284,0.32,Premium,G,VVS1,62.6,58.0,4.41,4.38,2.75,1080
796,0.32,Ideal,E,VVS1,61.7,55.0,4.38,4.41,2.71,879
11414,0.82,Ideal,F,VS2,61.3,56.0,6.02,6.05,3.7,4931
2174,0.71,Ideal,D,SI2,61.5,56.0,5.74,5.78,3.54,2610
23454,0.35,Ideal,G,VS1,61.1,56.0,4.55,4.58,2.79,923
17274,0.33,Premium,E,VVS2,60.3,58.0,4.47,4.49,2.7,868
22788,0.41,Premium,E,SI2,62.1,58.0,4.77,4.73,2.95,876
13578,1.2,Premium,H,SI1,62.9,56.0,6.8,6.74,4.26,6129
23911,0.4,Ideal,F,VVS1,61.4,56.0,4.77,4.81,2.94,1168
12689,1.0,Very Good,F,SI2,62.8,57.0,6.37,6.44,4.02,4081
20458,1.62,Premium,G,VS1,60.7,58.0,7.62,7.54,4.6,14447
3664,0.54,Ideal,H,VS1,61.3,55.9,5.23,5.27,3.21,1633
26563,0.24,Very Good,F,VVS1,61.8,59.0,3.93,4.0,2.45,552
7992,2.21,Ideal,D,SI2,62.0,57.0,8.36,8.31,5.18,16558
12988,1.91,Premium,I,SI1,60.9,53.0,8.11,8.07,4.93,13367
9497,0.3,Ideal,E,SI1,61.3,56.0,4.34,4.37,2.67,640
26906,0.7,Very Good,I,VS2,62.2,59.0,5.64,5.71,3.53,1666
24656,0.7,Very Good,I,SI1,62.5,60.0,5.64,5.68,3.54,2039
10368,0.32,Premium,I,VS1,62.0,58.0,4.37,4.4,2.72,505
1110,1.12,Ideal,H,SI1,60.7,56.0,6.74,6.7,4.08,5457
18248,2.01,Premium,G,SI1,62.5,58.0,7.98,8.08,5.02,17334
19963,0.3,Ideal,D,VS2,61.4,54.0,4.34,4.39,2.68,670
25687,1.09,Premium,H,SI1,61.6,57.0,6.63,6.59,4.07,5219
21747,0.7,Good,D,SI1,63.6,60.0,5.59,5.51,3.51,2512
23528,0.54,Ideal,E,SI2,60.4,57.0,5.33,5.27,3.2,1340
16047,0.73,Premium,F,SI1,62.4,55.0,5.78,5.71,3.59,2346
26001,1.01,Good,F,SI2,63.6,59.0,6.37,6.34,4.04,4197
717,1.24,Premium,G,IF,60.5,60.0,6.95,6.91,4.19,10508
